PAQ,Physical Activity,PAQ_11,"[Over the Past 30 Days], Did {You/SP} Do Moderate Activities For At Least 10 Minutes that Cause Only Light Sweating or a Slight to Moderate Increase in Breathing or Heart Rate? Some Examples Are Brisk Walking, Bicycling For Pleasure, Golf, or Dancing. Here Are Some other Examples of these Types of Activities. Please Do Not Include Walking or Biking For Travel, or House Work or Yard Work, that You Have Already Told Me About.",
PAQ,Physical Activity,PAQ_12,"[Over the Past 30 Days], How Often Did {You/SP} Do these Moderate Activities?
Probe: How Many Times Per Day, Per Week, or Per Month?",
PAQ,Physical Activity,PAQ_14,"Over the Past 30 Days, Did {You/SP} Do Any Physical Activities Specifically Designed to Strengthen {Your/His/Her} Muscles Such as Lifting Weights, Push-Ups or Sit-Ups? Include All Such Activities Even If You Have Mentioned Them Before.",
PAQ,Physical Activity,PAQ_16,"Over the Past 30 Days, on a Typical Day How Much Time Altogether Did {You/SP} Spend Sitting and Watching TV or Videos Outside of Work? Would You Say . . .",
PAQ,Physical Activity,PAQ_17,"Over the Past 30 Days, on a Typical Day How Much Time Altogether Did {You/SP} Spend Using a Computer Outside of Work? Would You Say . . .",
PAQ,Physical Activity,PAG2008,Met 2008 Physical Activity Guidelines,Maybe?
DBQ,Diet Behavior and Nutrition,DBQ_2,"On Average, How Many Times Per Week {Do You/Does SP} Eat Meals that Were Prepared in a Restaurant? Please Include Eat-In Restaurants, Carry Out Restaurants and Restaurants that Deliver Food to Your House.",
DBQ,Diet Behavior and Nutrition,DBQ_3UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat Dark Green Vegetables, Such as the Food Listed on this Card? UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_4UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat other Types of Vegetables (Than Dark Green Vegetables), Such as those Listed on this Card? UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_5UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat Fresh Fruits, Such as those Listed on this Card? UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_6UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat Poultry Such as Chicken and Turkey?  Please Include Foods that Are Made with Poultry Such as Soups, Sandwiches, Stews and Salads. UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_7UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat Meat Such as Beef, Pork, Lamb and Veal?  Please Include Foods that Are Made with Meat Such as Soups, Stews, Sandwiches, Lunch Meats, and Casseroles. UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_8UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat Any Type of Fish or Shellfish?  Include Any Foods that Had Fish or Shellfish in Them Such as Sandwiches, Soups, or Salads? UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_9UNIT,"During the Past 30 Days, How Often Per Day, Per Week or Per Month Did {You/SP} Eat Fresh or Frozen Tuna Steak, Swordfish, Shark, King Mackerel or Tilefish? Please Include the Tuna in Sushi.  UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_10UNIT,"During the Past 30 Days, How Often Did {You/SP} Drink Sugar Sweetened Soda? Do Not Include Diet Soda or Seltzer. You Can Tell Me the Number of Times Per Day, Per Week or Per Month. UNIT",
DBQ,Diet Behavior and Nutrition,DBQ_12UNIT,"(During the Past 30 Days), How Often Did {You/SP} Drink Sweetened Fruit Drinks, Sports or Energy Drinks, Such as Kool-Aid, Lemonade, Hi-C, Cranberry Drink, Gatorade, Red Bull or Vitamin Water? Include Fruit Juices You Made At Home and Added Sugar To. Do Not Include Diet Drinks or Artificially Sweetened Drinks. (You Can Tell Me Per Day, Per Week or Per Month.) UNIT",
SMQ,Smoking and Tobacco Use,SMQ_1,{Have You/Has SP} Smoked At Least 100 Cigarettes in {Your/His/Her} Entire Life?,
SMQ,Smoking and Tobacco Use,SMQ_12,"The Following Questions Ask about Use of Tobacco or Nicotine Products in the Past 5 Days. During the Past 5 Days, Did {You/SP} Use Any Product Containing Nicotine Including Cigarettes, Pipes, Cigars, Cigarillos, Chewing Tobacco, Snuff, Hookah Pipe, Electronic Cigarettes, Nicotine Patches, Nicotine Gum, or Any other Product Containing Nicotine?",
SMQ,Smoking and Tobacco Use,SMQ_14,"Does Anyone Who Lives {In Your/SP's Home} Smoke Cigarettes, Cigars, or Pipes Anywhere Inside the Home?",
SMQ,Smoking and Tobacco Use,SMOKER4CAT,"Smoking Status (self-reported), 4 categories",
ALQ,Alcohol Use,ALQ_1,"In the Past 12 Months, How Often Did {You/SP} Drink Any Type of Alcoholic Beverage? By a Drink, I Mean a 12 Oz. Beer, a 5 Oz. Glass of Wine, or One and a Half Ounces of Liquor.
Probe: How Many Days Per Week, Per Month, or Per Year Did {You/SP} Drink?",
ALQ,Alcohol Use,ALQ_2,"In the Past 12 Months, on those Days that {You/SP} Drank Alcoholic Beverages, on the Average, How Many Drinks Did {You/He/She} Have? (By a Drink, I Mean a 12 Oz. Beer, a 5 Oz. Glass of Wine, or One and a Half Ounces of Liquor.)",
INQ,Income,INQ_3,"At Any Time in the Last 12 Months, Even For 1 Month, Did {You/SP} {You/SP and Any Family Members} Receive Any Government Payments Because {Your/SP’S} Income Was Low, Such as Welfare, Public Assistance, AFDC, or Some other Program?",
INQ,Income,POVGROUP4_0812CT,"Neighborhood Income: Percentage of residents in SP’s census tract with annual income below the Federal Poverty Threshold (4 categories), ACS 2008-2012 data",
INQ,Income,POVGROUP4_0812,"Neighborhood Income: Percentage of residents in SP’s zip code with annual income below the Federal Poverty Threshold (4 categories), ACS 2008-2012 data",
SSQ,Social Support,SSQ_1,Is There Someone Available to Whom {You/SP} Can Count on to Listen to {You/Him/Her} When {You Need/S/He Needs} to Talk?,
SSQ,Social Support,SSQ_2,Is There Someone Available to {You/SP} to Give {You/Him/Her} Good Advice about a Problem?,
SSQ,Social Support,SSQ_3,Is There Someone Available to {You/SP} Who Shows {You/Him/Her} Love and Affection?,
SSQ,Social Support,SSQ_4,Is There Someone Available to Help with Daily Chores?,
SSQ,Social Support,SSQ_5,Can {You/SP} Count on Anyone to Provide {You/Him/Her} with Emotional Support (Talking Over Problems or Helping You Make a Difficult Decision)?,
SSQ,Social Support,SSQ_6,"{Do You/Does SP} Have as Much Contact as {You/S/He} Would Like with Someone {You Feel/S/He Feels} Close To, Someone in Whom {You/SP} Can Trust and Confide In?",
EXAM,Anthropometrics,BMI,BMI,
EXAM,Anthropometrics,PE_COMPLETED,Physical Exam Completed Indicator,Filter out ones that didn't
BLOOD,Blood specimen test,BLOOD_SPEC,Blood Sample Collection Indicator,Filter out ones that didn't
